"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PIJWTKIP","conferencePaper","2023","Yoon, Kyungduck; Han, Keyi; Tadesse, Kidan; Mandracchia, Biagio; Jia, Shu","Simultaneous multicolor imaging with multifocal scanning microscopy","Frontiers in Optics: Proceedings Frontiers in Optics + Laser Science 2023, FiO, LS 2023","978-1-957171-29-6","","10.1364/FIO.2023.FM5E.2","","We propose multifocal scanning microscopy for super-resolution fluorescence imaging to achieve simultaneous multi-color acquisition. Our system achieves two-fold improvement over the diffraction limit for both emission wavelengths through imaging phantoms and HeLa cells.","2023","2024-06-18 16:53:16","2024-06-18 16:53:16","","FM5E—-2","","","","","","","","","","","Optica Publishing Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4YLLRAYG","conferencePaper","2023","Mandracchia, Biagio; Liu, Wenhao; Hua, Xuanwen; Forghani, Parvin; Lee, Soojung; Nie, Shuyi; Xu, Chunhui; Jia, Shu","Image restoration for fluorescence microscopy using optimal sparsity and camera modeling","Frontiers in Optics: Proceedings Frontiers in Optics + Laser Science 2023, FiO, LS 2023","978-1-957171-29-6","","10.1364/FIO.2023.JM7A.119","","In fluorescence microscopy, the quality of the acquired images determines the extent of observable biological phenomena. To address the different noise sources degrading these images, we introduce a model-based framework compatible with several microscopy systems independently from the detector used.","2023","2024-06-18 16:53:16","2024-06-18 16:53:16","","JM7A—-119","","","","","","","","","","","Optica Publishing Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8QH47T2M","conferencePaper","2023","Zheng, Corey; Mandracchia, Biagio; Jia, Shu","High-speed CMOS imaging with fiber bundle optical reassignment","Frontiers in Optics: Proceedings Frontiers in Optics + Laser Science 2023, FiO, LS 2023","978-1-957171-29-6","","10.1364/FIO.2023.FM1C.5","","We demonstrate ultra-fast 25.6kHz imaging on a conventional epi-fluorescent sCMOS camera setup, surpassing the compromise between field of view (FOV) and imaging speed via introducing a custom fiber-optic bundle without significant complexity or cost.","2023","2024-06-18 16:53:16","2024-06-18 16:53:16","","FM1C—-5","","","","","","","","","","","Optica Publishing Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7XS3GKZH","conferencePaper","2023","Tadesse, Kidan; Mandracchia, Biagio; Yoon, Kyungduck; Han, Keyi; Jia, Shu","3D Multifocal Scanning Microscopy for Super-Resolution Cell and Tissue Imaging","Frontiers in Optics: Proceedings Frontiers in Optics + Laser Science 2023, FiO, LS 2023","978-1-957171-29-6","","10.1364/FIO.2023.JW4A.30","","Image scanning microscopy allows detailed 3D imaging but has a complex setup. Our 3D multifocal scanning microscope doubles resolution, provides optical sectioning, and enhances contrast with a simplified setup making it promising for digital pathology.","2023","2024-06-18 16:53:16","2024-06-18 16:53:16","","38550–38559","","","31","","","","","","","","Optica Publishing Group","","","","","","","","","Backup Publisher: Optica Publishing Group Issue: 23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PE3GUSL2","conferencePaper","2022","Son, Jeonghwan; Mandracchia, Biagio; Jia, Shu","A compact open-top light-sheet microscope for Optofluidic imaging","Three-Dimensional and Multidimensional Microscopy: Image Acquisition and Processing XXIX","978-1-5106-4803-6","","10.1117/12.2607324","","","2022","2024-06-18 16:53:16","2024-06-18 16:53:16","","14","","","11966","","","","","","","","SPIE","","","","","","","","","ISSN: 16057422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENM63PHM","conferencePaper","2022","Mandracchia, Biagio; Tadesse, Kidan; Son, Jeonghwan; Jia, Shu","Resolution doubling in optofluidics and sample-scanning fluorescence microscopy","Single Molecule Spectroscopy and Superresolution Imaging XV","978-1-5106-4805-0","","10.1117/12.2608994","","A great interest in high-throughput fluorescence microscopy for biological and medical imaging has led to the flourishing of new imaging methods where the sample is quickly scanned through the optics. Optofluidic microscopes use fluids' properties as an additional degree of freedom for optical detection and microfluidics to perform simple and low-cost object manipulation. Even though several devices have been optimized for fluorescence-based imaging, these systems can rarely resolve sub-micron details, posing a limit to the structures that can be studied. An exception is represented by systems developed for particle detection, which are capable to quantify protein expression and analyze small molecules even at nanoscale resolution. However, in this case, high resolution requires a low emitter density and it cannot be used to visualize densely packed structures such as membranes and organelles. Hence, we have developed a system for sub-diffractionlimited optofluidic scanning microscopy (OSM) that uses the optofluidics paradigm to extract the inherent super-resolution information of a confocal system. OSM uses the optofluidic flow scanning scheme and a multifocal illumination pattern to obtain resolution doubling with minimal system complexity. In addition, it does not require any mechanical part for the scanning, so that it can be readily adapted to different levels of integration from commercial microscopes to on-chip configurations. This makes our system the most viable configuration for super-resolution optofluidics, being both suitable for continuous flow scanning and compatible with on-chip configurations through the adoption of integrated optics, like custom micro-lenses or Fresnel zone plates. Finally, we demonstrate how the same concept can be adapted to digital slide scanners for super-resolution whole slide imaging.","2022","2024-06-18 16:53:16","2024-06-18 16:53:16","","3","","","11967","","","","","","","","SPIE","","","","","","","","","ISSN: 16057422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9CDSWYZ4","conferencePaper","2022","Hua, Xuanwen; Mandracchia, Biagio; Liu, Wenhao; Jia, Shu","Volumetric and optofluidic live-cell imaging using high-resolution Fourier light-field microscopy (HR-FLFM)","Imaging, Manipulation, and Analysis of Biomolecules, Cells, and Tissues XX","978-1-5106-4799-2","","10.1117/12.2609264","","","2022","2024-06-18 16:53:16","2024-06-18 16:53:16","","35","","","11964","","","","","","","","SPIE","","","","","","","","","ISSN: 16057422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CTBMDMM6","conferencePaper","2021","Bianco, Vittorio; Mandracchia, Biagio; Behal, Jaromir; Barone, Dario; Memmolo, Pasquale; Ferraro, Pietro","Artifacts-free Fourier ptychographic microscopy using a misaligned setup","Optical Methods for Inspection, Characterization, and Imaging of Biomaterials V","978-1-5106-4406-9","","10.1117/12.2592550","","","2021","2024-06-18 16:53:16","2024-06-18 16:53:16","","28","","","11786","","","","","","","","SPIE","","","","","","","","","ISSN: 1996756X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E8Y5MQE9","conferencePaper","2021","Mandracchia, Biagio; Son, Jeonghwan; Jia, Shu","Super-resolution optofluidic scanning microscopy","Lab on a Chip","","","10.1039/d0lc00889c","","Optofluidics enables visualizing diverse anatomical and functional traits of single-cell specimens with new degrees of imaging capabilities. However, the current optofluidic microscopy systems suffer from either low resolution to reveal subcellular details or incompatibility with general microfluidic devices or operations. Here, we report optofluidic scanning microscopy (OSM) for super-resolution, live-cell imaging. The system exploits multi-focal excitation using the innate fluidic motion of the specimens, allowing for minimal instrumental complexity and full compatibility with various microfluidic configurations. The results present effective resolution doubling, optical sectioning and contrast enhancement. We anticipate the OSM system to offer a promising super-resolution optofluidic paradigm for miniaturization and different levels of integration at the chip scale.","2021","2024-06-18 16:53:16","2024-06-18 16:53:16","","489–493","","","21","","","","","","","","SPIE","","","","","","","","","ISSN: 14730189 Issue: 3 PMID: 33325966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9W492WX2","journalArticle","2021","Oleandro, Emilia; Grilli, Simonetta; Rega, Romina; Mugnano, Martina; Bianco, Vittorio; Valentino, Marika; Mandracchia, Biagio; Nazzaro, Filomena; Coppola, Raffaele; Ferraro, Pietro","Biospeckle Analysis and Biofilm Electrostatic Tests, Two Useful Methods in Microbiology","Applied Microbiology","","26738007","10.3390/applmicrobiol1030036","","The development of more sensitive methodologies, capable of quickly detecting and monitoring a microbial population present in a specific biological matrix, as well as performing to allow for the study of all its metabolic changes (e.g., during the formation of biofilm) to occur, is an essential requirement for both well-being and the food industry. Two techniques, in particular, have gained the attention of scientists: The first is “biospeckle”, an optical technique representing an innovative tool for applications in food quality, food safety, and nutraceuticals. With this technique, we can quickly evaluate and monitor the presence of bacteria (or their proliferation) in a solid or liquid biological matrix. In addition, the technique is helpful in quantifying and optimizing the correct storage time of the pro-biotics, if they are entrapped in matrices such as alginate and follow their survival rate in simulated gastro-intestinal conditions. A second technique with great chances is the “biofilm electrostatic test” (BET). BET undoubtedly represents a fast, simple, and highly reproducible tool suitable for admitting the evaluation of the in vitro bacterial capacity in order to adhere through an electrostatic interaction with a pyro-electrified carrier after only 2 h of incubation. BET could represent the way for a quick and standardized evaluation of bacterial resistance among biofilm-producing microorganisms through a fast evaluation of the potential presence of the biofilm.","2021","2024-06-18 16:53:16","2024-06-18 16:53:16","","557–572","","3","1","","","","","","","","","","","","","","","","","Publisher: MDPI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66JWCGSD","journalArticle","2021","Mandracchia, Biagio; Son, Jeonghwan; Jia, Shu","Super-resolution optofluidic scanning microscopy","Lab on a Chip","","14730189","10.1039/d0lc00889c","","Optofluidics enables visualizing diverse anatomical and functional traits of single-cell specimens with new degrees of imaging capabilities. However, the current optofluidic microscopy systems suffer from either low resolution to reveal subcellular details or incompatibility with general microfluidic devices or operations. Here, we report optofluidic scanning microscopy (OSM) for super-resolution, live-cell imaging. The system exploits multi-focal excitation using the innate fluidic motion of the specimens, allowing for minimal instrumental complexity and full compatibility with various microfluidic configurations. The results present effective resolution doubling, optical sectioning and contrast enhancement. We anticipate the OSM system to offer a promising super-resolution optofluidic paradigm for miniaturization and different levels of integration at the chip scale.","2021","2024-06-18 16:53:16","2024-06-18 16:53:16","","489–493","","3","21","","","","","","","","","","","","","","","","","PMID: 33325966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6V9ZZ7TV","journalArticle","2021","Bianco, Vittorio; Mandracchia, Biagio; Běhal, Jaromír; Barone, Dario; Memmolo, Pasquale; Ferraro, Pietro","Miscalibration-tolerant Fourier ptychography","IEEE Journal of Selected Topics in Quantum Electronics","","15584542","10.1109/JSTQE.2020.3025717","","Fourier Ptychography probes the sample from different directions to achieve label-free quantitative phase imaging with a large space-bandwidth product. However, special attention has to be paid in the calibration of the optical setup to assure the accurate knowledge of the geometrical parameters involved in the image reconstruction. Any slight misalignment can provoke incorrect synthesis of the observables and, in turn, severe phase errors in the resulting high-resolution image. Here, we present a new processing pipeline that automatically removes such a priori unknown artifacts, thus making Fourier Ptychography miscalibration-tolerant. This result is achieved through a numerical Multi-Look approach that generates and combines multiple reconstructions of the same set of observables where phase artifacts are largely uncorrelated and, thus, automatically suppress each other. The proposed method is non-iterative, fully parallelizable, and completely blind, unlocking the use of Fourier Ptychography as an easy to handle tool or add-on to existing microscopes to be employed by unskilled users, thus paving the way to biomedical and clinical practices.","2021","2024-06-18 16:53:16","2024-06-18 16:53:16","","1–17","","4","27","","","","","","","","","","","","","","","","","Publisher: IEEE","","","","Calibration; Fourier Ptychographic Microscopy; Image processing; Phase-contrast imaging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RVGIPCRV","journalArticle","2020","Cacace, Teresa; Bianco, Vittorio; Mandracchia, Biagio; Pagliarulo, Vito; Oleandro, Emilia; Paturzo, Melania; Ferraro, Pietro","Compact off-axis holographic slide microscope: design guidelines","Biomedical Optics Express","","2156-7085","10.1364/boe.11.002511","","Holographic microscopes are emerging as suitable tools for in situ diagnostics and environmental monitoring, providing high-throughput, label-free, quantitative imaging capabilities through small and compact devices. In-line holographic microscopes can be realized at contained costs, trading off complexity in the phase retrieval process and being limited to sparse samples. Here we present a 3D printed, cost effective and field portable off-axis holographic microscope based on the concept of holographic microfluidic slide. Our scheme removes complexity from the reconstruction process, as phase retrieval is non iterative and obtainable by hologram demodulation. The configuration we introduce ensures flexibility in the definition of the optical scheme, exploitable to realize modular devices with different features. We discuss trade-offs and design rules of thumb to follow for developing DH microscopes based on the proposed solution. Using our prototype, we image flowing marine microalgae, polystyrene beads, E.coli bacteria and microplastics. We detail the effect on the performance and costs of each parameter, design, and hardware choice, guiding readers toward the realization of optimized devices that can be employed out of the lab by non-expert users for point of care testing.","2020","2024-06-18 16:53:16","2024-06-18 16:53:16","","2511","","5","11","","","","","","","","","","","","","","","","","Publisher: Optica Publishing Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X2ISUHKW","conferencePaper","2020","Bianco, Vittorio; Cacace, Teresa; Mandracchia, Biagio; Pagliarulo, Vito; Oleandro, Emilia; Paturzo, Melania; Ferraro, Pietro","Field-deployable, cost-effective holographic slide microscope: a 3D-printed prototype","Optics InfoBase Conference Papers","978-1-943580-77-4","","10.1364/DH.2020.HW3C.2","","Here we design a compact, portable and cost-effective holographic microscope based on the concept of holographic microscope slide. We developed a wavefront division holographic interferometer deployable for in-situ environmental monitoring and point-of care diagnostics.","2020","2024-06-18 16:53:16","2024-06-18 16:53:16","","HW3C—-2","","","","","","","","","","","Optica Publishing Group","","","","","","","","","ISSN: 21622701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4ILCAC9R","journalArticle","2020","Son, Jeonghwan; Mandracchia, Biagio; Jia, Shu","Miniaturized modular-array fluorescence microscopy","Biomedical Optics Express","","","","","","2020","2024-06-18 16:53:16","2024-06-18 16:53:16","","7221–7235","","12","11","","","","","","","","","","","","","","","","","Publisher: Optica Publishing Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PVR46DKQ","conferencePaper","2020","Mandracchia, Biagio; Son, Jeonghwan; Jia, Shu","Sub-diffraction-limit optofluidic imaging","Optics InfoBase Conference Papers","978-1-943580-80-4","","10.1364/FIO.2020.FW1E.7","","A great interest in the integration between microfluidics and fluorescence microscopy has led to the flourishing of new flow-based imaging methods for both bench-top and portable solutions. Nonetheless, such systems still operate in a diffraction-limited regime due to the fact that super-resolution techniques are usually incompatible with a continuous sample flow. Here, we propose an optofluidic-based system that allows resolution doubling in moving samples, paving the way for the addition of sub-diffraction-limited imaging to the available tools for optofluidic devices.","2020","2024-06-18 16:53:16","2024-06-18 16:53:16","","FW1E—-7","","","","","","","","","","","Optica Publishing Group","","","","","","","","","ISSN: 21622701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26VEMMSW","conferencePaper","2020","Mandracchia, Biagio; Hua, Xuanwen; Guo, Changliang; Son, Jeonghwan; Urner, Tara; Jia, Shu","Correction of CMOS-related noise in fluorescence microscopy","Optics InfoBase Conference Papers","978-1-943580-80-4","","10.1364/FIO.2020.JM6B.19","","CMOS cameras are very appealing for fluorescence microscopy but they suffer from high readout noise and fixed-pattern noise. We propose a non-iterative, fast, and unsupervised algorithm that erases camera-related noise without losing the quantitative information of fluorescence signal. Finally, we demonstrate the performance of the algorithm using different sensors, from low-cost CMOS chips to high-end sCMOS cameras.","2020","2024-06-18 16:53:16","2024-06-18 16:53:16","","JM6B—-19","","","","","","","","","","","Optica Publishing Group","","","","","","","","","ISSN: 21622701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGPCEU33","conferencePaper","2020","Son, Jeonghwan; Mandracchia, Biagio; Jia, Shu","Miniaturized optical fluorescence microscopy system for parallel in situ imaging","Optics InfoBase Conference Papers","978-1-943580-80-4","","10.1364/FIO.2020.FW5E.2","","Live cell fluorescence imaging have enriched image-based screening applications with microwell plates. Here, we propose a portable system by synchronizing miniaturized microscopies and show the performance of live cell imaging inside an incubator.","2020","2024-06-18 16:53:16","2024-06-18 16:53:16","","FW5E—-2","","","","","","","","","","","Optica Publishing Group","","","","","","","","","ISSN: 21622701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
